Date,Price
20171117,112.062
20171118,112.085
20171119,112.085
20171120,112.481
20171121,112.45575
20171122,111.6525
20171123,111.205
20171124,111.571
20171125,111.545
20171126,111.545
20171127,110.959
20171128,111.1165
20171129,111.75025
20171130,112.292
20171201,111.72
20171202,112.115
20171203,112.11
20171204,112.78
20171205,112.84
20171206,112.3615
20171207,112.6935
20171208,113.515
20171209,113.485
20171211,113.3455
20171212,113.634
20171213,113.235
20171214,112.542
20171215,112.659
20171216,112.585
20171217,112.585
20171218,112.4255
20171219,113.022
20171220,113.292
20171221,113.4595
20171222,113.324
20171223,113.27
20171224,113.27
20171225,113.255
20171226,113.1975
20171227,113.2975
20171228,112.84125
20171229,112.7025
20171230,112.685
20171231,112.685
20180101,112.695
20180102,112.175
20180103,112.34
20180104,112.791
20180105,113.1555
20180106,113.075
20180107,113.08
20180108,113.0955
20180109,112.51
20180110,111.53675
20180111,111.3845
20180112,111.1915
20180113,111.04
20180114,111.04
20180115,110.5435
20180116,110.7545
20180117,110.826
20180118,110.9115
20180119,110.592
20180120,110.775
20180121,110.775
20180122,111.09
20180123,110.4235
20180124,109.1135
20180125,108.708
20180126,108.381
20180127,108.715
20180128,108.715
20180129,109.16075
20180130,108.905
20180131,109.393
20180201,109.49125
20180202,110.3995
20180203,110.105
20180204,110.105
20180205,110.075
20180206,109.1855
20180207,109.481
20180208,109.011
20180209,108.536
20180210,108.797
20180211,108.797
20180212,108.692
20180213,107.6025
20180214,107.045
20180215,106.29125
20180216,106.0755
20180217,106.315
20180218,106.315
20180219,106.5415
20180220,107.2495
20180221,107.685
20180222,106.9915
20180223,106.653
20180224,106.885
20180225,106.885
20180226,106.91525
20180227,107.467
20180228,106.6065
20180301,106.958
20180302,105.591
20180303,105.75
20180304,105.75
20180305,105.969
20180306,106.0435
20180307,106.034
20180308,106.0815
20180309,106.795
20180310,106.795
20180311,106.795
20180312,106.5375
20180313,106.602
20180314,106.253
20180315,106.212
20180316,106.12
20180317,106.015
20180318,106.015
20180319,105.872
20180320,106.422
20180321,106.331
20180322,105.6825
20180323,104.933
20180324,104.745
20180325,104.735
20180326,105.1075
20180327,105.667
20180328,106.4595
20180329,106.4235
20180330,106.212
20180401,106.275
20180402,106.0465
20180403,106.431
20180404,106.6055
20180405,107.412
20180406,107.1145
20180407,106.93
20180408,106.93
20180409,106.9405
20180410,107.213
20180411,106.846
20180412,107.29
20180413,107.428
20180414,107.345
20180415,107.345
